房屋标题,简述,浏览量,房屋总价,元/平,房屋户型,房本面积,房屋朝向,所在楼层,装修情况,产权年限,建筑年代,核心卖点,业主心态,服务介绍,核验编码,参考首付,小区均价,所在商圈,物业费,容积率,绿化率,车位信息,室,厅,卫,房屋朝向num,楼层高低num,楼层层数num,装修情况num,产权年限num,建筑年代num,参考首付num,月供num,小区均价num,所在商圈1num,所在商圈2num,recommend0,recommend1,recommend2,recommend3,recommend4,recommend5,recommend6,recommend7,recommend8,recommend9
首付20万起，深圳东一线海景房，国际多元滨海度假生活。,首付20万起，深圳东一线海景房，国际多元滨海度假生活。;售价：45万元（8801元/㎡）；房贷：首付约13万月供约（1698元）；产权：商品房（70年产权）2012年建；类型：普通住宅 板楼 中层/共36层；装修：精装修朝南；,31,45.0,8801,1室0厅1卫,51.13,南,中层/共36层,精装修,70年,2012年,1.富力湾由富力集团开发，打造的470万平滨海度假王国，500亿配套投入。2.占地7000亩，坐拥10公里海岸线。3.配备六酒店群、社区海洋馆、游艇、滨海街、国际医院、国红树林湾、滨海绿道等完善配套，以自然、养生、休闲、玩乐、文化等多方面融合的角度，营造国际多元滨海度假生活。4、植入长居的生活理念，除了配备必须的完善生活配套，满全人的生活需求，更规划建设了老年活动、老年大学、养生馆。,在售户型：46平方一房一厅；58平方一房两厅；62平方一房两厅；77平方两房两厅；111平方三房两厅；,经纪人服务：有钥匙收取服务费：最高0元(≤0%)【1】我的介绍：本人从事行业2年多，熟悉一手，二手交易流程，经验十足。【2】我的使命：帮您节省每一分钱，让您的每一分钱都有价值。【3】我的价值观：真诚正义、先人后己。【4】我的愿望：希望每一个人都有一个温馨的。【5】我的格言：用尽所有的能量帮助每个需要帮助的人。【6】真诚为您服务：因为专业，所以信赖。,深圳市城乡房产管理局：暂未完成认证,13.5万（月供1290元/月）,9254.0元/㎡,深圳周边－惠州,2.30元/平米/月,1.0,45.0,2套在租,1,0,1,4,2,36,3,70,2012,13,1290,9254,12,61,167,209,97,376,143,17,364,251,380,76
万象天成 地铁口 三馆一城 精装三房 户型方正 万科天誉商圈,万象天成 地铁口 三馆一城 精装三房 户型方正 万科天誉商圈;售价：255万元（28781元/㎡）；房贷：首付约76万月供约（9500元）；产权：商品房（70年产权）2009年建；类型：普通住宅 板楼 中层/共30层；装修：精装修朝南北；,33,255.0,28781,3室1厅2卫,88.6,北,中层/共30层,精装修,70年,2009年,一.房源优势：1.卧室房间前后没有房子遮挡，全自然通风采光！非常舒适！2.此房是小区内，实用率大，客厅带阳台看花园二.装修：1.此房之前一直是业主自住，精装修，保养都非常好！大气且不失时尚品味！并且带全家私电一起卖，！！！2.业主个人产权，红本在手！费用少，过户快！拎包即住就行了！,房东置换，诚心出售，欢迎看房，随时恭候您的到来。,经纪人服务：有钥匙、免费保洁一次收取服务费：最高12750元(≤0.5%)真诚正义先人后己，交易阳光透明，欢迎随时来电,深圳市城乡房产管理局：暂未完成认证,76.5万（月供7319元/月）,32386.0元/㎡,龙岗区－龙岗中心城,3.50元/平米/月,2.25,30.0,地面停车100元/月。地下停车200元/月,3,1,2,8,2,30,3,70,2009,76,7319,32386,8,32,396,190,304,385,130,299,323,164,115,204
地铁口温馨两房 首付32万 可过户送家私 可读周边私立学校,地铁口温馨两房 首付32万 可过户送家私 可读周边私立学校;售价：85万元（15454元/㎡）；房贷：首付约25万月供约（3184元）；产权：商品房（70年产权）2008年建；类型：普通住宅 板楼 低层/共12层；装修：精装修朝南北；,38,85.0,15454,2室1厅1卫,55.0,北,低层/共12层,精装修,70年,2008年,◇ 地铁口精装两房坐北朝南，户型方正使用率高达百分之九十；◇ 中间楼层楼层位置，通风良好采光好不错；◇ 带装修精装交房，可读私立学校，过户方便；◇ 产权清晰，无纠纷正经房源购买有保障；◇ 看房方便，随时看房，购买即可入住；【ps：APP回复可能不及时，欢迎您致电或是发短信咨询，来电信息保密^_^】,业主买过来自己，位置好地段佳。全新装修过精装交房，还未入住正经一手房源。现在因资金周转不开急售出手，产权清晰购买就能拎包入住！价格方面还有一定空间！是您的不二之选！,收取服务费：最高4250元(≤0.5%)此房在售，看房请打电话给我，24h为您服务，（本人承诺，绝不透露您的手机号，非正事的情况下打扰您，谢谢信任！）我会用我多年的专业，诚信真诚的本性让您省心的找到自己的家！我的宗旨：实房实价，帮您努力谈价，帮您省钱。兢兢业业，帮您跑前跑后，帮您省心；洋泾买房找我：本人愿意用专业的眼光，全心全意为您服务，让您有不一样的体验，全程陪伴您找到舒适的家！电话24h畅通；请拔打右上角的电话，也提供免费上门评估房屋出售价格及租金服务！更多请点价右上角头像进入我的店铺查阅（同号）,深圳市城乡房产管理局：暂未完成认证,25.5万（月供2438元/月）,12002.0元/㎡,龙华新区－民治,1.00元/平米/月,0.0,0.0,地面停车位,2,1,1,8,3,12,3,70,2008,25,2438,12002,10,9,377,104,172,306,382,211,339,35,100,298
地 王解读，超划算笋盘来袭，满五唯一红本在手，看花园，还有谁,地 王解读，超划算笋盘来袭，满五唯一红本在手，看花园，还有谁;售价：450万元（67811元/㎡）；房贷：首付约134万月供约（16771元）；产权：商品房（70年产权）2011年建；类型：普通住宅 板塔结合 低层/共34层；装修：精装修朝西南；,6,450.0,67811,2室2厅1卫,66.36,西南,低层/共34层,精装修,70年,2011年,小区介绍：1.14年的新小区，红山片区中心的位置，周边高档小区之一。2.林荫小道，道路两旁都是成片的葱郁的树木和草地，散步在其中，阳光透过树叶洒在路上，分外惬意。3.周边商业娱乐配套一应俱全，九方购物中心，鹏润达商场，沃尔玛，华润万家等等。4.自带水榭春天幼儿园，泳池，健身活动广场。周边配套（两公里内）交通：深圳北站仅有1公里的车程，地铁四号线红山站的路程，地铁六号线在建，预计19年底通车。附近多达十几路的公交车通往深圳各区，便捷省时。学校：四大名校之一深圳中学北校区医院：龙华恒安医院,业主在福田上班，平时来回时间太长，所以想要腾出名额换房，诚心出售，旁边，自住转手不二之选，同小区同户型全在500万左右，天天都有意向客户过来咨询，晚一步就被别人成交。,经纪人服务：有钥匙收取服务费：最高22500元(≤0.5%)乐有家：七大顺心承诺，七大安心保障！不吃差价，不做私单，不收红包，不坑蒙拐骗，不威胁恐吓！源，真服务，真保障！本人乐有家大学生团队王耀，年轻的经纪人，扎根于红山片区，热情、真服务是我的词，您对我的每一次选择都是我成长路上一次强有力的支持，有任何租房，买房需求都可以联系我，真诚的祝愿您早日找到满意的房源！,深圳市城乡房产管理局：暂未完成认证,135万（月供12914元/月）,72514.0元/㎡,龙华新区－莱蒙水榭春天,3.10元/平米/月,3.44,35.0,2904套在租,2,2,1,7,3,34,3,70,2011,135,12914,72514,10,22,24,286,283,125,191,346,169,1,260,294
惠东高铁站旁滨海小镇富力湾 首付30万买豪装大三房 看房接送,惠东高铁站旁滨海小镇富力湾 首付30万买豪装大三房 看房接送;售价：98万元（8852元/㎡）；房贷：首付约30万月供约（3609元）；产权：商品房（70年产权）2019年建；类型：普通住宅 板塔结合 中层/共33层；装修：豪华装修朝南；,13,98.0,8852,3室2厅1卫,110.7,南,中层/共33层,豪华装修,70年,2019年,1、大开发商富力地产，品牌开发商，质量保证；2、7000亩大盘，500亿打造大型海景度假区，每年1000万次人口；3、紧邻惠东高铁站（10min可达）；4、环球国际小姐基地，希尔顿酒店进驻，酒店式管理，每月固定返租；5、精装一线海景，自然、养生、休闲、玩乐、文化滨海钜作；,户型全部精装出售：47㎡单间50㎡一房62㎡一房一厅77㎡两房一厅82㎡两房两厅111㎡三房两厅,收取服务费：最高0元(≤0%)1、致电可享团购优惠，来电隐私全程无扰；2、看房全程阳光透明，新房不收任何费用；3、提供多套同类房源，可看多个楼盘对比；4、全程提供服务，熟悉房产买卖流程；5、严格遵守职业道德，诚信做人踏实做事；6、成交只是服务开始，后续手续实时跟进；享内部员工折扣！,深圳市城乡房产管理局：18129953719,29.4万（月供2813元/月）,9254.0元/㎡,深圳周边－惠州,2.30元/平米/月,1.0,45.0,2套在租,3,2,1,4,2,33,4,70,2019,29,2813,9254,12,61,313,199,180,244,297,383,212,110,108,301
"荔园小区东校区,福田棚改拆迁项目,住宅性质可贷款,未使用","荔园小区东校区,福田棚改拆迁项目,住宅性质可贷款,未使用;售价：165万元（56506元/㎡）；房贷：首付约50.1万月供约（6098元）；产权：商品房（70年产权）1983年建；类型：普通住宅 板楼 中层/共8层；装修：豪华装修朝南；",4,165.0,56506,1室0厅1卫,29.2,南,中层/共8层,豪华装修,70年,1983年,【产权信息】：红本在手，无营业税【情况】：园岭实验小学、华富中学（未占用）【装修情况】：干净，装修精美保养很好【看房方式】：提前来电预约看房【推房理由】：低于市场价30万即买即赚,【出手原因】：在别的片区看上一套房子，着急筹全款【业主想法】：业主诚心急售，经常跟业主电话沟通，无论如何在近期出手掉。【把握业主】：不用担心反价情况，全权把握业主，如果合适，还有议价的空间！,经纪人服务：有钥匙收取服务费：最高33000元(≤2%)【主作片区】：本人工作近11年（持有深圳房协经纪人上岗证）熟悉罗湖笋岗、罗湖泥岗、福田八卦岭、福田园岭，户型+面积+朝向及周边物业配套！能够很好的给到建议供您参考！【专业操作】：一手房+二手房+公司购房，深圳、惠州、东莞、中山、*相关资源，二手楼商贷、公积金+组合商贷、纯公积金贷款，专业经纪人《易宜》真诚为您服务！【更多房源】：点击我的头像进入我的店铺或打我联系方式也可来电直接咨询！您可能感兴趣房源,深圳市城乡房产管理局：暂未完成认证,49.5万（月供4734元/月）,57891.0元/㎡,福田－八卦岭,0.80元/平米/月,2.7,48.0,只有少量露天停车位,1,0,1,4,2,8,4,70,1983,49,4734,57891,6,88,83,72,215,112,71,310,343,12,66,142
急 急中海怡翠一楼带院子 大三房 双阳台 带公立学校 近地铁,急 急中海怡翠一楼带院子 大三房 双阳台 带公立学校 近地铁;售价：380万元（40241元/㎡）；房贷：首付约113万月供约（14170元）；产权：商品房（70年产权）2002年建；类型：普通住宅 板楼 低层/共7层；装修：简单装修朝南；,24,380.0,40241,3室2厅2卫,94.43,南,低层/共7层,简单装修,70年,2002年,1、户型方正，看花园，安静景观好，住家非常的舒适；2、學区房，就读中海怡翠公立、万科麓城外国语，所以小孩读书完全不用担心；3、户型特点：99平3房2厅2卫，方正大气，厨房餐厅带阳台，卧室也出阳台；4、产权清晰，过户简单，税费极少，省心省钱。,业主因换房子，在其它地方看好了房子，所以诚售此房。平时看房比较方便，笋盘急卖,收取服务费：最高19000元(≤0.5%)1.本人有多年经验，对市场和房价走势有独特见解；2.熟练掌握一手、二手房交易流程，找我买房，我将给您的、专业的服务；3.本人所发房源均为真图实价，如果您对此房不满意，我会给您匹配更多房源；4.您的满意是我的追求,深圳市城乡房产管理局：暂未完成认证,114万（月供10907元/月）,41779.0元/㎡,布吉－上水径,2.35元/平米/月,1.13,60.0,900个停车位、两个地下停车场、一个大型露天停车场,3,2,2,4,3,7,2,70,2002,114,10907,41779,3,17,89,354,340,107,11,54,217,336,359,362
雍翠豪园 东南向 74平厅出阳台 精装 满五年红本 唯一税少,雍翠豪园 东南向 74平厅出阳台 精装 满五年红本 唯一税少;售价：360万元（49247元/㎡）；房贷：首付约107万月供约（13427元）；产权：商品房（70年产权）2002年建；类型：普通住宅 板楼 高层/共9层；装修：精装修朝东；,28,360.0,49247,2室2厅1卫,73.1,东,高层/共9层,精装修,70年,2002年,74平厅出阳台，东南向，高楼层，带屋顶花园50平米，自住精装修，保养非常的好，格局合理，功能齐全。业主诚心卖，税费少，学位未占用，近地铁口，梧桐山方便锻炼身体。,业主看好房子了，已经买到房子了，不想压力太大，所以才出售此房。希望能找到个好买家。,收取服务费：最高36000元(≤1%)我从事地产3年有余，房地产交易各环节精通，全部为你把控交易，本人一向提昌换位思考，为人诚恳，选我安全、省心，你只需要告诉我要求，我给你结果，欢迎李远,深圳市城乡房产管理局：U192900081222,108万（月供10333元/月）,52169.0元/㎡,罗湖－莲塘,2.50元/平米/月,1.9,35.0,158个停车位：地下200元/月，地上150元/月！,2,2,1,3,1,9,3,70,2002,108,10333,52169,7,47,159,63,254,2,280,15,279,29,158,146
南联地铁口100米，楼下摩尔城，配套成熟，价格可谈,南联地铁口100米，楼下摩尔城，配套成熟，价格可谈;售价：270万元（37985元/㎡）；房贷：首付约80万月供约（10084元）；产权：商品房（70年产权）2014年建；类型：普通住宅 塔楼 低层/共32层；装修：豪华装修朝南；,28,270.0,37985,3室2厅1卫,71.08,南,低层/共32层,豪华装修,70年,2014年,房源亮点：小区千户品质花园大社区，出门100米地铁站，二楼空中花园，人车分流，小区自带大型商超，一楼各种综合商业体。,户型简介：户型是满京华标准的三房，朝南看花园游泳池，采光通风好，楼层佳，装修描述：业主自己精装修，家私家电都其全，业主自己保养得特别好。,经纪人服务：有钥匙、免费保洁一次收取服务费：最高13500元(≤0.5%)看房可随时拨打我电话①③③⑧0③③④①⑤②1、本人提供的一切服务，都是免费的2、能为你做出正确的指导，解答一切的你所关心的问题3、遵守职业道德，诚信做人，本分做事4、我的价值是：真诚，用心，专业，贴心的区服务好每一个客户，只为给你一个温馨的家，用心只为你看房顺心，住房舒心！5、一个电话+1份信任+我的责任，成交不是结束，服务才刚刚开始。,深圳市城乡房产管理局：暂未完成认证,81万（月供7748元/月）,42076.0元/㎡,龙岗区－龙岗中心城,2.80元/平米/月,4.0,32.0,325,3,2,1,4,3,32,4,70,2014,81,7748,42076,8,32,202,25,57,324,321,155,237,164,299,75
财富城 (五期开发大盘 )带坪山实验 朝南大3房 坪山地铁站,财富城 (五期开发大盘 )带坪山实验 朝南大3房 坪山地铁站;售价：325万元（36516元/㎡）；房贷：首付约97万月供约（12101元）；产权：商品房（70年产权）2018年建；类型：普通住宅 板楼 低层/共39层；装修：毛坯朝南；,110,325.0,36516,4室2厅2卫,89.0,南,低层/共39层,毛坯,70年,2018年,核心卖点 核心卖点财富城是财富集团深耕深圳二十年来，继财富大厦、财富广场等物业后，在坪山区开发的140万平超体项目，秉承财富集团一贯的精工品质和匠心精神，为城市打造住宅。财富城总建面约140万平，共分5期开发，拥有住宅、公寓、、、酒店等多重业态，项目紧邻坪山高铁站、规划中的地铁14、16号线，周边还有南坪三期、东部过境通道等多条快速干道，畅享便捷交通。另外还紧邻10亿巨资打造的坪山文化六馆、38万平半月环公园等，文体休闲一站式享受。不仅如此，项目一路之隔就是坪山实验，拥有家门口的教育。项目自身自带10万平旗舰，构筑坪山区CLD生活版图,此楼盘只有乐有家有代理，享有优 惠请直接联系他们。,经纪人服务：有钥匙、免费保洁一次收取服务费：最高0元(≤0.0%)1.本人有4年从事房经验，专注龙岗坪山、龙岗、惠州的一手二手房，熟悉惠州坪山龙岗所有楼盘，对市场和房价走势有独特见解，尤其擅长和业主沟通议价。2.熟练掌握一手二手房交易流程！找我买房将给您提供专业服务，买房省时、省心、省事！3.一个电话，为您节省不必要的时间，高效专业帮您找到温馨的家园，专业专注诚信乃是从业根本，您的置业专家。4.本人已帮助1200多户家庭成功置业，零投诉，零纠纷！专业专注，标准化时间帮到您！5.我将恭候您的来电，为您提供专业的房产交易问题解答咨询！,深圳市城乡房产管理局：暂未完成认证,97.5万（月供9326元/月）,36847.0元/㎡,坪山新区－坪山,3.90元/平米/月,4.98,40.0,3套在租,4,2,2,4,3,39,1,70,2018,97,9326,36847,1,11,92,243,220,222,144,86,389,203,314,201
景华嶺峯5号线地铁口 布吉下水径 精装修交付准现房 来电优惠,景华嶺峯5号线地铁口 布吉下水径 精装修交付准现房 来电优惠;售价：465.9万元（50096元/㎡）；房贷：首付约139万月供约（17349元）；产权：商品房（70年产权）2019年建；类型：普通住宅 板楼 高层/共30层；装修：精装修朝南；,24,465.9,50096,3室2厅2卫,93.0,南,高层/共30层,精装修,70年,2019年,"1、户型朝向好，自然通风，采光好。2、客厅朝南,客厅出阳台，位置安静。3、清爽装修，保养好，拎包入住，省去了装修时的劳心劳力。",1、建筑面积约68㎡两房两厅一卫总价约350万起2、建筑面积约74㎡两房两厅一卫总价约400万起3、建筑面积约86㎡三房两厅一卫总价约450万起4、建筑面积约93㎡三房两厅两卫总价约500万起（此价格都是折前价）5、建筑面积约99㎡三房两厅两卫总价约530万起（来电享受前50名专属折扣）,经纪人服务：有钥匙收取服务费：最高23295元(≤0.5%)为您买房提供高品质服务，您的满意，是我的追求，我的服务宗旨：秉承专业，专注，专心的态度为您服务，欢迎您来电咨!,深圳市城乡房产管理局：暂未完成认证,139.77万（月供13370元/月）,52530.0元/㎡,布吉－布吉街,0.00元/平米/月,0.0,0.0,6套在租,3,2,2,4,1,30,3,70,2019,139,13370,52530,3,21,168,326,355,219,261,353,75,141,204,315
远洋新干线 地铁口交通方便，可谈，可看房，近满京华喜悦里,远洋新干线 地铁口交通方便，可谈，可看房，近满京华喜悦里;售价：285万元（35799元/㎡）；房贷：首付约85万月供约（10615元）；产权：商品房（70年产权）2016年建；类型：普通住宅 板楼 高层/共32层；装修：精装修朝南北；,42,285.0,35799,3室2厅1卫,79.61,北,高层/共32层,精装修,70年,2016年,"产权性质：房子70年大产权，产权清晰，有房本，随时过户。朝向：南北，采光好，户型方正，没有浪费空间。 房子采光好，每个房间都有窗户，无遮挡视野好。房屋年代：2016年新建小区，小区环境好，仿佛自然生长的欧洲格调生活小镇，稳重、优雅、古朴的砖大面积落地玻璃窗和精致的阳台栏杆，又赋予建筑现代感，小区生活配套设施即将完善，是大的高档社区,小区出行便利",房东置换，诚心出售，欢迎看房，随时恭候您的到来。,经纪人服务：有钥匙、免费保洁一次收取服务费：最高14250元(≤0.5%)真诚正义先人后己，交易阳光透明，欢迎随时来电,深圳市城乡房产管理局：暂未完成认证,85.5万（月供8178元/月）,37003.0元/㎡,龙岗区－龙岗中心城,2.90元/平米/月,4.03,23.0,3913套在租,3,2,1,8,1,32,3,70,2016,85,8178,37003,8,32,304,57,299,190,385,323,204,315,234,164
急降80万，畅销户型，湾区头牌，正规大三房前排观海，手慢无,急降80万，畅销户型，湾区头牌，正规大三房前排观海，手慢无;售价：1358万元（153186元/㎡）；房贷：首付约407万月供约（50472元）；产权：商品房（70年产权）2014年建；类型：普通住宅 塔楼 高层/共29层；装修：精装修朝东南；,217,1358.0,153186,3室2厅2卫,88.65,东南,高层/共29层,精装修,70年,2014年,房源亮点：翡翠海岸位于南山区后海滨路，小区是湾区豪宅标杆，楼间距开阔，密度低，居住舒适；周围配套完善，不远是宝能太古城和深圳湾公园，休闲娱乐的好去处，临近湾厦地铁站，出行方便户型简介：这套房子我实地去看过很多次，客厅出阳台朝东南，可以看一线海景，前面没有遮挡的，通风采光效果都很不错，主卧和其中一个次卧都是朝东南的，每个房间都能放得下1.5米的床。分析：地处于深圳湾核心地段，旁边就是深圳湾公园和15公里滨海栈道,业主准备，没办法打理房子，这套着急出手，要在澳洲那边买房子,收取服务费：最高108640元(≤0.8%)如果这套房源不合适您，可以点击我的头像，欢迎来电通知，我们还有更多的房源可以给您提供参考，大学生团队竭诚为您服务。团队介绍：乐有家是中国规模、大的房经纪公司之一，我们拥有丰富的资源。公司一直秉承阳光透明，真诚服务”的理念为客户提供真心服务。,深圳市城乡房产管理局：暂未完成认证,407.4万（月供38975元/月）,169518.0元/㎡,南山－后海,405.00元/平米/月,2.0,46.0,732,3,2,2,9,1,29,3,70,2014,407,38975,169518,11,60,325,176,195,257,349,88,213,318,214,393
福田华强北 福民楼 地铁口物业 精装大3房 低于市场价36万,福田华强北 福民楼 地铁口物业 精装大3房 低于市场价36万;售价：135万元（15882元/㎡）；房贷：首付约40万月供约（5042元）；产权：商品房（70年产权）2012年建；类型：普通住宅 板楼 中层/共32层；装修：精装修朝南北；,52,135.0,15882,3室2厅2卫,85.0,北,中层/共32层,精装修,70年,2012年,1、房屋介绍：福民楼，小区环境优雅，周边各项配套齐全，房子，朝向：南北2、满五年，税，好房不等人，需要的客户抓紧时间电话联系我，我会安排好带您看房。3、小区周边配套设施齐全，交通便利:离地铁非常近，附近有公交车站。4、本人此房源信息有效，如果此房不是您所理想的房子，我可以帮您其他合适您的房源信息，只要您一个电话，不成交不收费。5、我所有网络广告价格均为房东所报价格，绝不会出现虑假情况，我愿用我的专业知识为你购置满意温馨的家，我愿用我的专业向你提供关于房产方面的各种咨询！,业主是一手业主，满五年，红本在手，税 费，双实 验学 位没有用过，要换房，已经看好了小区，业主是北方人，很爽快，希望能够找到一个有缘人。,经纪人服务：有钥匙收取服务费：最高6750元(≤0.5%)有需要请致电！作为一名优秀经纪人，我给您承诺三不原则：不发虚假房源不报虚假价格不赚客户差价！真诚为您服务，如果您对买房、卖房有任何疑问、困惑，欢迎私聊！（注：微聊APP有时因故障收不到消息或信息延迟，可以电-话详询。）,深圳市城乡房产管理局：暂未完成认证,40.5万（月供3875元/月）,8945.0元/㎡,福田－华强南,1.20元/平米/月,0.0,0.0,47套在租,3,2,2,8,2,32,3,70,2012,40,3875,8945,6,44,180,395,379,69,212,247,301,383,297,42
长丰苑精装2房 宜居家 厅出阳台 楼下9号线地铁站 华润万家,长丰苑精装2房 宜居家 厅出阳台 楼下9号线地铁站 华润万家;售价：310万元（45588元/㎡）；房贷：首付约92万月供约（11570元）；产权：商品房（70年产权）2000年建；类型：普通住宅 板楼 中层/共30层；装修：精装修朝北；,28,310.0,45588,2室2厅1卫,68.0,北,中层/共30层,精装修,70年,2000年,物业类型：住宅物业费：4.00元/平米/月总建面积：58220㎡总户数：560户建造年代：2000年停车位：250开发商：深圳*城（地产）集团股份有限公司.物业公司：深圳*城物业管理股份有限公司,满2年免*税，业主诚心出售，保养好，适合居家，楼下就是华润万家超市，9号线向西村地铁站，教育配套齐全,收取服务费：最高62000元(≤2.0%)您好！感谢您查看我的房源，很高兴为您服务，为您带来愉悦的之旅，买房换房，帮忙！真诚服务，永不止步，您的家，我建议，您做主，为您我做到!如果这套房子不合适您，请你点击我的头像进入我的店铺，更多房源供您选择！,深圳市城乡房产管理局：暂未完成认证,93万（月供8896元/月）,43443.0元/㎡,罗湖－东门,4.00元/平米/月,12.3,35.0,地面车位,2,2,1,8,2,30,3,70,2000,93,8896,43443,7,52,63,260,29,137,169,191,293,246,374,181
爱联地铁口50米，一手精装公寓，即买即住，通燃气，带阳台,爱联地铁口50米，一手精装公寓，即买即住，通燃气，带阳台;售价：260万元（36111元/㎡）；房贷：首付约77万月供约（9712元）；产权：商品房（70年产权）2018年建；类型：公寓 板楼 中层/共31层；装修：精装修朝南；,5,260.0,36111,2室2厅1卫,72.0,南,中层/共31层,精装修,70年,2018年,（1）项目位于龙岗大道和如意路交汇处，打造城市资产综合体，公寓住宅一应俱全，一期占地2.7万平  方，总建面积27.8万平方，一到三层为，四层为空中花园，地下一层为设备用房，地下二三为停车场  （2）一手新房，税费低，手续简单；国企中建四局承建，房屋质量保证，万科物业，放心舒心；设计团队  打造，通风通光良好,1.精致小户型精装送设施花不多的钱购温馨小家！  2.户型2房，位置独特，视野开阔无遮挡，空气清新，紧对花园，特别适合居家过日子。  3.朝东南清晨时，您站在客厅里，沐浴着旭日的光辉，精神饱满舒畅！  4.小区2楼无缝连接爱联地铁站。,经纪人服务：有钥匙收取服务费：最高0元(≤0%)本人从事房产多年为152名客户安家置业，看房包接送，多个楼盘进行充分对比我们拥有专业团队为您保驾护航，资源充足，门店分布于惠州、东莞、深圳.出租出售可与我直接电话沟通，来电送两年物业管理费用。,深圳市城乡房产管理局：暂未完成认证,78万（月供7463元/月）,43393.0元/㎡,龙岗区－龙岗中心城,3.60元/平米/月,3.57,32.0,2151套在租,2,2,1,4,2,31,3,70,2018,78,7463,43393,8,32,95,351,98,119,128,22,366,74,126,77
留仙茗苑 兴东地铁站精装2房 带可按揭 价格可谈随时看房,留仙茗苑 兴东地铁站精装2房 带可按揭 价格可谈随时看房;售价：93万元（20666元/㎡）；房贷：首付约27万月供约（3503元）；产权：商品房（70年产权）2014年建；类型：普通住宅 板楼 低层/共22层；装修：精装修朝南；,51,93.0,20666,2室2厅1卫,45.0,南,低层/共22层,精装修,70年,2014年,核心卖点1、小区自带空中花园，绿化率50，双泳池，居住氛围浓厚，小区住户素质高，楼下商业配套齐全，基本满足生活需求。2、户型方正，正南朝向，客厅和房间是隔开的，居住感很好。3、出门有公交站，交通便利。4、装修保养很好，客厅房间隔开，家私电器全齐，可以直接拎包入住。,【1】业主之前是一手买过来的，一直都是自己在住，业主很爱惜房子，房屋各方面保护完好。——【2】业主在关内购置新房，首付已交，由于资金周转问题，决定将此房产低于市场价出售，性价比高——【3】业主诚心出售此房，价格方面可以再谈，如有看上此房源的，可以来电联系我预约看房。——【4】业主非常爱惜房子，房子保养的非常好，可以领包入住，家私也是赠送的。,经纪人服务：有钥匙收取服务费：最高4650元(≤0.5%)①真诚为您服务：应为专业，所以信赖②以诚待人，服务至上，是我们的宗旨③我的愿望：希望每一个人都有一个温馨的家④我的介绍：从事房行业3年多，经验十足⑤我的观点：正直、诚信、责任、感恩、使命⑥我的格言：用尽的能量帮助每个需要帮助的⑦我的使命：帮您节省每一分钱，让您的每一分钱都有价值这房如果不合适，欢迎，好房源有一套适合您。免yong金，派。,深圳市城乡房产管理局：暂未完成认证,27.9万（月供2668元/月）,23357.0元/㎡,南山－西丽,2.40元/平米/月,0.0,0.0,244套在租,2,2,1,4,3,22,3,70,2014,27,2668,23357,11,14,177,47,225,282,211,189,105,81,308,99
恒大城 双地铁口 世界500强企业 实验双学.区 财富城对面,恒大城 双地铁口 世界500强企业 实验双学.区 财富城对面;售价：350万元（33018元/㎡）；房贷：首付约104万月供约（13056元）；产权：商品房（70年产权）2018年建；类型：普通住宅 板楼 中层/共33层；装修：豪华装修朝南；,23,350.0,33018,4室2厅2卫,106.0,南,中层/共33层,豪华装修,70年,2018年,【中.心区位】占位坪山中.心区核心地段，享中.心区全配套资源！【繁华商业】项目一期自带4.1万平商业配套，周边多商圈环绕！【便捷交通】14号线/16号线双地铁囗，出门即享便捷交通！【名校】蕴含丰富教育资源，其中坪山实验学校为龙头强校！【文体配套】文化综合体，10亿级六馆一城”文化配套升级！【公园资产】出门即为占地约38万m半月环公园为城市的公园资产！,这是开发商的一手新房，没有其它费用，比二手房省几十万的税费。,经纪人服务：有钥匙、免费保洁一次收取服务费：最高0元(≤0%)真诚正义先人后己，交易阳光透明，欢迎随时来电,深圳市城乡房产管理局：暂未完成认证,105万（月供10044元/月）,33902.0元/㎡,坪山新区－坪山,0.00元/平米/月,0.0,0.0,12套在租,4,2,2,4,2,33,4,70,2018,105,10044,33902,1,11,188,235,367,220,144,222,300,39,201,194
